/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run A2C on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — A2C Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Rollout     : n_steps=5 (synchronous A3C variant)
 Seed        : 3
============================================================
  Ep 3150 | SR=0% | Steps=15.0 | R=-12.27
  Ep 3160 | SR=0% | Steps=15.0 | R=-9.16
  Ep 3170 | SR=0% | Steps=15.0 | R=-20.71
  Ep 3180 | SR=0% | Steps=15.0 | R=-20.47
  Ep 3190 | SR=0% | Steps=15.0 | R=-26.03
  Ep 3200 | SR=0% | Steps=15.0 | R=-7.78
  Ep 3210 | SR=0% | Steps=15.0 | R=-17.53
  Ep 3220 | SR=0% | Steps=15.0 | R=-8.31
  Ep 3230 | SR=0% | Steps=15.0 | R=-20.69
  Ep 3240 | SR=0% | Steps=15.0 | R=-4.32
  Ep 3250 | SR=0% | Steps=15.0 | R=-7.71
  Ep 3260 | SR=0% | Steps=15.0 | R=-3.89
  Ep 3270 | SR=0% | Steps=15.0 | R=-16.04
  Ep 3280 | SR=0% | Steps=15.0 | R=-12.38
  Ep 3290 | SR=0% | Steps=15.0 | R=-15.72
  Ep 3300 | SR=0% | Steps=15.0 | R=-15.74
  Ep 3310 | SR=0% | Steps=15.0 | R=-7.61
  Ep 3320 | SR=0% | Steps=15.0 | R=-8.22
  Ep 3330 | SR=0% | Steps=15.0 | R=-15.17
  Ep 3340 | SR=0% | Steps=15.0 | R=-15.76
  Ep 3350 | SR=0% | Steps=15.0 | R=-10.71
  Ep 3360 | SR=0% | Steps=15.0 | R=-15.65
  Ep 3370 | SR=0% | Steps=15.0 | R=-17.16
  Ep 3380 | SR=0% | Steps=15.0 | R=-15.00
  Ep 3390 | SR=0% | Steps=15.0 | R=-0.40
  Ep 3400 | SR=0% | Steps=15.0 | R=-15.66
  Ep 3410 | SR=0% | Steps=15.0 | R=-11.32
  Ep 3420 | SR=0% | Steps=15.0 | R=-8.60
  Ep 3430 | SR=0% | Steps=15.0 | R=-11.43
  Ep 3440 | SR=0% | Steps=15.0 | R=-8.42
  Ep 3450 | SR=0% | Steps=15.0 | R=-14.99
  Ep 3460 | SR=0% | Steps=15.0 | R=-8.10
  Ep 3470 | SR=0% | Steps=15.0 | R=-7.42
  Ep 3480 | SR=0% | Steps=15.0 | R=-15.18
  Ep 3490 | SR=0% | Steps=15.0 | R=-9.02
  Ep 3500 | SR=0% | Steps=15.0 | R=-7.62
  Ep 3510 | SR=0% | Steps=15.0 | R=-23.85
  Ep 3520 | SR=0% | Steps=15.0 | R=-7.42
  Ep 3530 | SR=0% | Steps=15.0 | R=-15.20
  Ep 3540 | SR=0% | Steps=15.0 | R=-15.48
  Ep 3550 | SR=0% | Steps=15.0 | R=-13.31
  Ep 3560 | SR=0% | Steps=15.0 | R=-8.69
  Ep 3570 | SR=0% | Steps=15.0 | R=-23.22
  Ep 3580 | SR=0% | Steps=15.0 | R=-11.53
  Ep 3590 | SR=0% | Steps=15.0 | R=-20.75
  Ep 3600 | SR=0% | Steps=15.0 | R=-3.35
  Ep 3610 | SR=0% | Steps=15.0 | R=-20.74
  Ep 3620 | SR=0% | Steps=15.0 | R=-16.08
  Ep 3630 | SR=0% | Steps=15.0 | R=-11.45
  Ep 3640 | SR=0% | Steps=15.0 | R=-11.19
  Ep 3650 | SR=0% | Steps=15.0 | R=-19.14
  Ep 3660 | SR=0% | Steps=15.0 | R=-15.31
  Ep 3670 | SR=0% | Steps=15.0 | R=-19.46
  Ep 3680 | SR=0% | Steps=15.0 | R=-7.98
  Ep 3690 | SR=0% | Steps=15.0 | R=-3.51
  Ep 3700 | SR=0% | Steps=15.0 | R=-15.74
  Ep 3710 | SR=0% | Steps=15.0 | R=-15.67
  Ep 3720 | SR=0% | Steps=15.0 | R=-27.91
  Ep 3730 | SR=0% | Steps=15.0 | R=-8.47
  Ep 3740 | SR=0% | Steps=15.0 | R=-6.76
  Ep 3750 | SR=0% | Steps=15.0 | R=-6.94
  Ep 3760 | SR=0% | Steps=15.0 | R=-3.97
  Ep 3770 | SR=0% | Steps=15.0 | R=-19.19
  Ep 3780 | SR=0% | Steps=15.0 | R=-18.61
  Ep 3790 | SR=0% | Steps=15.0 | R=-7.58
  Ep 3800 | SR=0% | Steps=15.0 | R=-10.26
  Ep 3810 | SR=0% | Steps=15.0 | R=-11.92
  Ep 3820 | SR=0% | Steps=15.0 | R=-8.05
  Ep 3830 | SR=0% | Steps=15.0 | R=-11.63
  Ep 3840 | SR=0% | Steps=15.0 | R=-7.20
  Ep 3850 | SR=0% | Steps=15.0 | R=-3.66
  Ep 3860 | SR=0% | Steps=15.0 | R=-22.70
  Ep 3870 | SR=0% | Steps=15.0 | R=-19.52
  Ep 3880 | SR=0% | Steps=15.0 | R=-6.30
