/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — PPO Training
 URL         : http://localhost:8080/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_error_less1.csv
               (union=0, error=108)
 Timesteps   : 150000
 Seed        : 2
============================================================
  Ep 2960 | SR=0% | Steps=15.0 | R=-37.88
  Ep 2970 | SR=0% | Steps=15.0 | R=-36.27
  Ep 2980 | SR=0% | Steps=15.0 | R=-37.71
  Ep 2990 | SR=0% | Steps=15.0 | R=-37.04
  Ep 3000 | SR=0% | Steps=15.0 | R=-38.36
  Ep 3010 | SR=0% | Steps=15.0 | R=-37.25
  Ep 3020 | SR=0% | Steps=15.0 | R=-38.43
  Ep 3030 | SR=0% | Steps=15.0 | R=-37.52
  Ep 3040 | SR=0% | Steps=15.0 | R=-37.67
  Ep 3050 | SR=0% | Steps=15.0 | R=-37.76
  Ep 3060 | SR=0% | Steps=15.0 | R=-37.93
  Ep 3070 | SR=0% | Steps=15.0 | R=-37.52
  Ep 3080 | SR=0% | Steps=15.0 | R=-37.99
  Ep 3090 | SR=0% | Steps=15.0 | R=-37.98
  Ep 3100 | SR=0% | Steps=15.0 | R=-38.37
  Ep 3110 | SR=0% | Steps=15.0 | R=-37.46
  Ep 3120 | SR=0% | Steps=15.0 | R=-37.41
  Ep 3130 | SR=0% | Steps=15.0 | R=-37.53
  Ep 3140 | SR=0% | Steps=15.0 | R=-37.13
  Ep 3150 | SR=0% | Steps=15.0 | R=-36.74
  Ep 3160 | SR=0% | Steps=15.0 | R=-37.22
  Ep 3170 | SR=0% | Steps=15.0 | R=-37.76
  Ep 3180 | SR=0% | Steps=15.0 | R=-38.16
  Ep 3190 | SR=0% | Steps=15.0 | R=-37.54
  Ep 3200 | SR=0% | Steps=15.0 | R=-37.66
  Ep 3210 | SR=0% | Steps=15.0 | R=-37.94
  Ep 3220 | SR=0% | Steps=15.0 | R=-37.28
  Ep 3230 | SR=0% | Steps=15.0 | R=-37.81
  Ep 3240 | SR=0% | Steps=15.0 | R=-37.61
  Ep 3250 | SR=0% | Steps=15.0 | R=-38.25
  Ep 3260 | SR=0% | Steps=15.0 | R=-37.04
  Ep 3270 | SR=0% | Steps=15.0 | R=-37.31
  Ep 3280 | SR=0% | Steps=15.0 | R=-37.14
  Ep 3290 | SR=0% | Steps=15.0 | R=-37.07
  Ep 3300 | SR=0% | Steps=15.0 | R=-37.12
  Ep 3310 | SR=0% | Steps=15.0 | R=-37.70
  Ep 3320 | SR=0% | Steps=15.0 | R=-36.08
  Ep 3330 | SR=0% | Steps=15.0 | R=-37.25
  Ep 3340 | SR=0% | Steps=15.0 | R=-37.29
  Ep 3350 | SR=0% | Steps=15.0 | R=-37.70
  Ep 3360 | SR=0% | Steps=15.0 | R=-37.44
  Ep 3370 | SR=0% | Steps=15.0 | R=-38.75
  Ep 3380 | SR=0% | Steps=15.0 | R=-37.49
  Ep 3390 | SR=0% | Steps=15.0 | R=-37.76
  Ep 3400 | SR=0% | Steps=15.0 | R=-36.53
  Ep 3410 | SR=0% | Steps=15.0 | R=-38.52
